epoch,beta,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
99,0.001,0.05689,0.05008,6.80892,0.05940,0.05275,6.65007,2.50e-04
100,0.001,0.05683,0.05002,6.80585,0.05954,0.05274,6.79916,2.50e-04
100,0.001,0.05703,0.05020,6.82972,0.05940,0.05248,6.92006,2.50e-04
100,0.001,0.05695,0.05013,6.81624,0.05930,0.05247,6.83430,2.50e-04
101,0.001,0.05679,0.04996,6.83117,0.05945,0.05268,6.76312,2.50e-04
102,0.001,0.05700,0.05018,6.81453,0.05948,0.05266,6.82082,2.50e-04
103,0.001,0.05675,0.04992,6.83333,0.05966,0.05282,6.83900,2.50e-04
104,0.001,0.05668,0.04985,6.83244,0.05983,0.05292,6.90137,2.50e-04
105,0.001,0.05659,0.04976,6.83345,0.05918,0.05239,6.78469,2.50e-04
106,0.001,0.05644,0.04960,6.84073,0.05928,0.05251,6.76867,2.50e-04
107,0.001,0.05638,0.04954,6.84010,0.05914,0.05227,6.87468,2.50e-04
108,0.001,0.05636,0.04950,6.85697,0.05932,0.05249,6.82839,2.50e-04
109,0.001,0.05630,0.04944,6.86411,0.05935,0.05238,6.96128,2.50e-04
110,0.001,0.05643,0.04957,6.85607,0.05908,0.05220,6.87635,2.50e-04
111,0.001,0.05636,0.04952,6.83975,0.05906,0.05221,6.85481,2.50e-04
112,0.001,0.05636,0.04950,6.85664,0.05975,0.05290,6.84431,2.50e-04
113,0.001,0.05616,0.04930,6.86410,0.05920,0.05228,6.91991,2.50e-04
114,0.001,0.05653,0.04967,6.86137,0.05888,0.05198,6.89260,2.50e-04
115,0.001,0.05624,0.04938,6.85599,0.05891,0.05205,6.86675,2.50e-04
116,0.001,0.05606,0.04919,6.87584,0.05967,0.05271,6.96320,2.50e-04
117,0.001,0.05620,0.04930,6.89470,0.05888,0.05199,6.89332,2.50e-04
118,0.001,0.05577,0.04890,6.87015,0.05888,0.05194,6.93701,2.50e-04
119,0.001,0.05597,0.04909,6.88367,0.05952,0.05255,6.97108,2.50e-04
120,0.001,0.05576,0.04886,6.89740,0.05916,0.05228,6.87731,2.50e-04
121,0.001,0.05591,0.04902,6.88993,0.05936,0.05245,6.90212,2.50e-04
122,0.001,0.05590,0.04903,6.87555,0.05869,0.05186,6.82974,2.50e-04
123,0.001,0.05572,0.04883,6.88545,0.05871,0.05188,6.82965,2.50e-04
124,0.001,0.05581,0.04892,6.89272,0.05887,0.05207,6.79837,2.50e-04
